,Athlete,Country,Medal,Olympic,Sport
17216,"ZOZIROV, Zaza",['UKR'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17217,"BOGIYEV, Vadim",['RUS'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17218,"SAUNDERS, Townsend",['USA'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17219,"OTA, Takuya",['JPN'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17220,"SAYTIEV, Buvaysa",['RUS'],"[['Gold'], [3]]","[['Atlanta', 'Athens', 'Beijing'], [1996, 2004, 2008]]",['Wrestling']
17221,"MAGOMEDOV, Khadzhimurad",['RUS'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17222,"YANG, Hyun-Mo",['KOR'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17223,"KURTANIDZE, Eldari",['GEO'],"[['Bronze'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Wrestling']
17224,"SABEJEW, Arawat",['GER'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17225,"ANGLE, Kurt",['USA'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17226,"JADIDI, Abbas",['IRI'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17227,"GULYOV, Zafar",['RUS'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17228,"SIM, Kwon-Ho",['KOR'],"[['Gold'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Wrestling']
17229,"PAVLOV, Aleksandr",['BLR'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17230,"MOUREIKO, Serguei",['MDA'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17231,"GHAFFARI, Siamak",['USA'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17232,"KALASHNIKOV, Andriy",['UKR'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17233,"NAZARYAN, Armen",['ARM'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
17234,"PAULSON, Brandon",['USA'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Wrestling']
