,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
15538,11,18,3,3,7067,97,0,314,0,1
6654,4,9,9,11,5725,35,0,90,0,1
9001,8,12,0,43,6219,97,0,461,0,2
12630,9,15,33,41,11426,93,1,460,1,1
15110,10,17,33,41,9140,93,1,460,1,2
11917,9,15,2,2,2321,20,1,143,1,2
13033,12,16,2,2,10455,34,1,408,1,0
15750,11,18,10,14,11133,48,0,374,2,1
13691,12,16,27,33,182,95,0,351,2,1
16405,11,18,27,33,8207,93,0,456,2,1
19826,3,21,1,0,3892,31,0,375,0,1
13358,12,16,12,17,11835,34,0,359,0,0
5678,0,7,36,45,2691,31,0,12,0,0
9226,8,12,6,6,11603,28,0,286,0,0
6657,4,9,9,11,9766,61,0,90,0,2
5470,0,7,14,1,13652,61,1,440,1,1
2081,17,4,2,2,5347,33,0,328,0,0
13178,12,16,6,7,11538,5,0,285,0,2
7157,4,9,35,44,3497,24,0,231,0,1
15401,11,18,2,2,8166,70,0,114,0,1
7864,6,10,25,31,10143,95,0,360,0,0
7384,6,10,2,2,2444,48,1,330,1,2
9124,8,12,2,2,9640,95,0,424,0,1
14893,10,17,25,31,10619,93,1,343,1,2
19112,15,20,19,23,6568,52,0,33,0,1
15426,11,18,2,2,7337,33,1,143,1,0
8353,5,11,6,6,10794,5,0,291,0,0
2113,17,4,2,2,12060,30,0,384,0,2
9072,8,12,2,2,4555,4,0,145,0,2
14047,10,17,0,43,12889,40,0,461,0,1
18499,15,20,3,3,14178,95,1,314,1,1
5719,7,8,0,12,2356,95,1,73,1,2
4330,13,6,2,2,9513,33,0,363,0,0
16093,11,18,16,20,4799,42,0,370,0,1
7616,6,10,11,15,8279,48,0,464,0,2
13153,12,16,6,6,4582,34,1,292,1,2
6043,7,8,11,15,13081,48,0,355,0,2
3767,1,5,27,33,8948,31,0,193,2,2
9892,14,13,0,43,6330,40,0,461,0,0
12944,12,16,2,2,1153,95,0,143,0,1
11712,9,15,0,35,8490,4,1,56,1,1
17035,7,19,5,5,9514,23,0,168,0,0
4327,13,6,2,2,7676,95,0,330,0,0
10145,14,13,6,6,6441,40,0,288,0,2
4035,1,5,31,38,8584,33,1,339,1,1
2203,17,4,11,15,11132,7,0,464,0,1
18391,15,20,2,2,2714,32,0,330,0,0
18823,15,20,12,17,10472,93,0,359,0,1
1956,17,4,0,35,3353,2,1,57,1,1
8208,5,11,2,2,2772,95,0,368,0,1
5252,0,7,9,11,14598,33,0,299,0,0
10722,18,14,0,35,10761,95,1,133,1,0
10435,14,13,16,20,11120,25,0,370,0,0
3371,1,5,14,1,4002,48,0,440,0,1
10264,14,13,11,15,14817,93,0,355,0,1
1774,6,3,28,34,500,95,0,166,0,1
16791,7,19,2,2,2497,48,0,49,0,1
9075,8,12,2,2,5710,33,0,153,0,0
2128,17,4,2,2,9149,95,0,411,0,0
14236,10,17,3,3,2465,97,0,314,0,2
16525,11,18,35,44,1160,11,0,252,0,2
3976,1,5,28,34,9805,95,0,308,0,1
19839,3,21,1,0,10434,30,0,439,0,2
14042,10,17,0,43,6452,40,0,461,0,1
11780,9,15,0,35,12994,13,1,141,1,0
5592,0,7,25,31,4013,48,0,360,0,0
17160,7,19,9,11,5080,13,0,88,0,2
6286,7,8,35,44,9747,21,0,252,0,2
9193,8,12,5,5,5457,4,0,217,0,0
3495,1,5,14,1,4814,83,0,443,0,1
9713,8,12,28,34,13543,93,0,159,0,2
4782,13,6,26,32,35,31,0,419,0,2
9002,8,12,0,43,6951,97,0,461,0,2
5621,0,7,25,31,1416,81,0,405,0,1
19687,3,21,0,35,6150,95,0,141,0,1
938,16,2,13,18,3444,95,0,438,0,1
5328,0,7,11,15,4033,70,0,421,0,0
1584,6,3,23,28,459,33,0,333,0,1
16833,7,19,2,2,11636,32,0,132,0,0
13822,12,16,35,44,904,40,0,179,0,0
1024,16,2,20,25,9148,95,0,385,0,2
18687,15,20,10,13,13552,32,1,438,2,1
4895,13,6,28,34,5069,31,0,126,0,2
19887,3,21,2,2,3221,29,1,113,1,2
9408,8,12,12,17,5818,93,0,359,0,1
16185,11,18,19,23,6492,93,0,239,0,1
1386,6,3,12,17,7721,21,0,359,0,2
12340,9,15,14,1,6365,50,0,417,0,0
293,13,1,2,2,2071,31,0,389,0,2
17290,7,19,11,15,12864,75,0,421,0,0
14253,10,17,3,3,8145,11,1,314,1,0
810,16,2,2,2,3532,95,0,451,0,1
9513,8,12,14,1,14408,70,1,447,1,0
4006,1,5,28,34,7379,64,0,362,0,2
13987,10,17,0,35,7008,32,0,142,0,0
888,16,2,12,17,708,95,0,359,0,1
14691,10,17,15,19,4228,75,0,364,0,2
9405,8,12,12,17,1036,93,0,359,0,1
13186,12,16,9,10,12022,93,0,442,0,1
16471,11,18,33,41,4309,11,1,460,1,0
17221,7,19,10,24,3703,95,0,438,2,1
3399,1,5,14,1,7339,7,0,440,0,2
